1624134915,МС-ДентаКлиник,"[""https:\/\/p2.zoon.ru\/preview\/54IL8RQ7ZHgEcPkXpBa78Q\/160x160x90\/1\/0\/c\/5a0b6364a24fd95caa127853_5acb8a6361a05.jpg"",""https:\/\/p1.zoon.ru\/preview\/EfgwyhPRpHGFcxsyX9idHw\/160x160x90\/1\/6\/4\/5a0b6364a24fd95caa127853_5acb8a594f9d3.jpg"",""https:\/\/p2.zoon.ru\/preview\/Nev9gboAxtprZYbxCO78pQ\/160x160x90\/1\/8\/7\/5a0b6364a24fd95caa127853_5acb8a4345de4.jpg"",""https:\/\/p1.zoon.ru\/preview\/Jbuul_NOulGxpWKrKSUL_w\/160x160x90\/1\/1\/8\/5a0b6364a24fd95caa127853_5acb8a59852d9.jpg"",""https:\/\/p0.zoon.ru\/preview\/qsw5CTUX2zSuq8Aoj_75wA\/160x160x90\/1\/c\/7\/5a0b6364a24fd95caa127853_5acb8a69f0e60.jpg""]","Медицинские центры, Эндодонтия , Хирургическая стоматология, Эстетическая стоматология","проспект Ракетостроителей, 9к1, Долгопрудный","…В целом клиника оценивается на все 5
Всего самого доброго всем сотрудникам клиники!",2021-19-06 23:35:15
1624134917,ЗубСервис,"[""https:\/\/p2.zoon.ru\/preview\/YSDud5tDUDuhRagIlavGMQ\/160x160x90\/1\/6\/e\/57d70dbe40c0882c298b6f84_5f570cdfba5a8.jpg"",""https:\/\/p1.zoon.ru\/preview\/frmLNA8v2XymUD6gfMsMTg\/160x160x90\/1\/5\/3\/57d70dbe40c0882c298b6f84_60b0944fab208.jpg"",""https:\/\/p1.zoon.ru\/preview\/omzgotiLal1myi6jea2g-w\/160x160x90\/1\/b\/9\/57d70dbe40c0882c298b6f84_5fae2e96f006d.jpg"",""https:\/\/p2.zoon.ru\/preview\/z5sQg5a9_cr6jIwt4xf0bA\/160x160x90\/1\/1\/6\/57d70dbe40c0882c298b6f84_5f570d1923734.jpg"",""https:\/\/p1.zoon.ru\/preview\/GfrSh2vorF4_OZpyW8vzVQ\/160x160x90\/1\/b\/4\/57d70dbe40c0882c298b6f84_5f570d1884d0c.jpg""]","Медицинские центры, Базальная имплантация , Бесплатная стоматология, Эндодонтия","м. Улица Академика Янгеля, Кировоградская улица, 38к1, Москва",Первый раз были с дочкой в этой стоматологии…,2021-19-06 23:35:16
1624134918,Ника Денталь,"[""https:\/\/p2.zoon.ru\/preview\/mvj3Z5h4o16AdCceclKozA\/160x160x90\/1\/d\/1\/4fcdf9923c72ddd82f000020_5dfca3823ffd0.jpg"",""https:\/\/p0.zoon.ru\/preview\/ng7T8Vr0KOGmsEIjJLzuOw\/160x160x90\/1\/7\/6\/4fcdf9923c72ddd82f000020_5dfca366d12a7.jpg"",""https:\/\/p2.zoon.ru\/preview\/bs63njYkWMTuSpGWbGkjqA\/160x160x90\/1\/a\/0\/4fcdf9923c72ddd82f000020_5dfca36b8641a.jpg"",""https:\/\/p2.zoon.ru\/preview\/9ASu8ALlQHSsX157H3MMTQ\/160x160x90\/1\/4\/1\/4fcdf9923c72ddd82f000020_5dfca365c4f0a.jpg"",""https:\/\/p1.zoon.ru\/preview\/fxZuQ_rkx1SCmTrXc4F16A\/160x160x90\/1\/c\/a\/4fcdf9923c72ddd82f000020_5dfca36ad273b.jpg""]","Медицинские центры, Стоматология под микроскопом , Эндодонтия, Ортодонтия","Москва, к1501, 1 этаж, Зеленоград","…Видно, что врач занимается непосредственно своим делом, делает все аккуратно, прежде чем начать делать, предварительно все рассказывает, объяснит пациенту, какие ситуации могут быть…",2021-19-06 23:35:16
1624134920,DentalOpera,"[""https:\/\/p0.zoon.ru\/preview\/vWgRalrFb8RJEYvLzRFPmw\/160x160x90\/1\/4\/5\/5ec282289f04746d4d35b589_5ec283a3eeb45.jpg"",""https:\/\/p1.zoon.ru\/preview\/llkLh-_YylncBGWSZ4XMRQ\/160x160x90\/1\/2\/6\/5ec282289f04746d4d35b589_6086c3be9dd02.jpg"",""https:\/\/p0.zoon.ru\/preview\/DZHtu1Xf2D2203i0DcBALQ\/160x160x90\/1\/f\/8\/5ec282289f04746d4d35b589_6086c3c973179.jpg"",""https:\/\/p0.zoon.ru\/preview\/NmI4auAsiF0tALNt_Q-veg\/160x160x90\/1\/f\/5\/5ec282289f04746d4d35b589_6086c41b89620.jpg"",""https:\/\/p1.zoon.ru\/preview\/sssq84Nc_esDIwl5VAcaEA\/160x160x90\/1\/2\/1\/5ec282289f04746d4d35b589_6086c4108b6e7.jpg""]","Медицинские центры, Базальная имплантация , Стоматологический кабинет, Стоматологическая поликлиника","м. Пушкинская, Тверской бульвар, 9, Москва","…При выборе доктора я ориентировался на профессионализм, на то, как он разговаривал со мной, как преподносил информацию, в отличие от других специалистов…",2021-19-06 23:35:17
1624134922,Стоматология для детей Under Son,"[""https:\/\/p1.zoon.ru\/preview\/0E6jPoxL3mUK8Qc34Wfp0g\/160x160x90\/1\/6\/1\/5da59ed77ef80b51fb49ab92_5e0a5a85a94ec.jpg"",""https:\/\/p1.zoon.ru\/preview\/oyvT9NiPxmMg_kZ3rxavqA\/160x160x90\/1\/c\/a\/5da59ed77ef80b51fb49ab92_5dc5449b50509.jpg"",""https:\/\/p2.zoon.ru\/preview\/Vqymi-MrHubHPojpNevRHQ\/160x160x90\/1\/6\/d\/5da59ed77ef80b51fb49ab92_5e0a5aa348e34.jpg"",""https:\/\/p1.zoon.ru\/preview\/e8CXlDTG6MoygqDWttf30A\/160x160x90\/1\/4\/5\/5da59ed77ef80b51fb49ab92_5e0a5ab6c952e.jpg"",""https:\/\/p2.zoon.ru\/preview\/nQqJuxTpO-uyW9EMeYy33Q\/160x160x90\/1\/b\/9\/5da59ed77ef80b51fb49ab92_5e0a5ac6f211c.jpg""]","Медицинские центры, Базальная имплантация , Обследование на ЗППП, Эндодонтия","м. Варшавская, Каширское шоссе, д.16, Москва",Мы обращались в детскую стоматологию со стоматитом у ребенка…,2021-19-06 23:35:18
1624134924,Elite Denta,"[""https:\/\/p2.zoon.ru\/preview\/GgiNIklcxctkIDW_aLf5uQ\/160x160x90\/1\/e\/e\/52c0804a40c0886b7c8dbcd2_5e590c1f465e0.jpg"",""https:\/\/p1.zoon.ru\/preview\/guF4OZw4z2sK9sbflYCIOw\/160x160x90\/1\/b\/2\/52c0804a40c0886b7c8dbcd2_60bf53e2b347e.jpg"",""https:\/\/p1.zoon.ru\/preview\/kJ4FRRYbVarS-nmmSP-lqg\/160x160x90\/1\/2\/f\/52c0804a40c0886b7c8dbcd2_60bf4f9ec583c.jpg"",""https:\/\/p1.zoon.ru\/preview\/cTZHM4HIhuQjSQMVCnd6gA\/160x160x90\/1\/9\/0\/52c0804a40c0886b7c8dbcd2_60bf4fa03182e.jpg"",""https:\/\/p0.zoon.ru\/preview\/j3TG8WvmqcnjrZy_n8y0HQ\/160x160x90\/1\/2\/4\/52c0804a40c0886b7c8dbcd2_60bf4f9f5c3ef.jpg""]","Медицинские центры, Базальная имплантация , Эндодонтия, Ортодонтия","м. Проспект Мира, Астраханский переулок, 10/36, Москва",…Мне посоветовали этого стоматолога.,2021-19-06 23:35:19
1624134926,Стоматология Авантис профессора Ряховского А.Н.,"[""https:\/\/p1.zoon.ru\/preview\/IkIPoLpW7ywoVtrTXxBymg\/160x160x90\/1\/d\/4\/52c082c440c0886b7c8de5a6_5c923b45ab91d.jpg"",""https:\/\/p1.zoon.ru\/preview\/YQAXOMcTNKZiK0tWgNv9hA\/160x160x90\/1\/e\/b\/52c082c440c0886b7c8de5a6_5c923b55619b3.jpg"",""https:\/\/p2.zoon.ru\/preview\/aVJY7z6PqqGnREJnFXqBnA\/160x160x90\/1\/f\/0\/52c082c440c0886b7c8de5a6_5c923b60e87f4.jpg"",""https:\/\/p1.zoon.ru\/preview\/hOJ-WaWud_ymupoWjAqw2Q\/160x160x90\/1\/d\/9\/52c082c440c0886b7c8de5a6_5c923b5a76b4d.jpg"",""https:\/\/p0.zoon.ru\/preview\/Yk04xEwHrxojU4i0kr8YUA\/160x160x90\/1\/2\/4\/52c082c440c0886b7c8de5a6_5c923b4374d82.jpg""]","Медицинские центры, Эндодонтия , Ортодонтия, Люминиры","м. Калужская, Научный проезд, 19, 1 этаж, Москва","…ела бы поблагодарить клинику и профессиональную команду врачей, в частности Артема Курбановича, Георгия Руслановича и Алису Дмитриевну, за отличный результат лечения, за золотые руки докторов, а также внимательное и чуткое отношение к пациенту!..",2021-19-06 23:35:20
1624134928,Dr. Konstanta,"[""https:\/\/p2.zoon.ru\/preview\/37RP0o3Jv1mXnD_QsTMZNw\/160x160x90\/1\/1\/9\/5c00465aa24fd914013d85a2_5f0832f8560d8.jpg"",""https:\/\/p1.zoon.ru\/preview\/1kdJMl_0q_nD-Tp93bNKWw\/160x160x90\/1\/b\/5\/5c00465aa24fd914013d85a2_5f0832e57fad6.jpg"",""https:\/\/p0.zoon.ru\/preview\/4qWRO2z1gHvMrKxocgvuwA\/160x160x90\/1\/d\/a\/5c00465aa24fd914013d85a2_5f083347a224a.jpg"",""https:\/\/p1.zoon.ru\/preview\/3SJWPTCJiO-piolljAnRLA\/160x160x90\/1\/f\/6\/5c00465aa24fd914013d85a2_5f0832e43ab72.jpg"",""https:\/\/p0.zoon.ru\/preview\/OzinF3fiL_wrgHwEGznaLg\/160x160x90\/1\/e\/0\/5c00465aa24fd914013d85a2_5f08336038b2a.jpg""]","Медицинские центры, Массаж воротниковой зоны","м. Нагорная, Электролитный проезд, 16к1, Москва",…Здорово иметь такой салон рядом с домом…,2021-19-06 23:35:21
1624134930,Волна,"[""https:\/\/p0.zoon.ru\/preview\/8vzaMMkvEeHvF9JxKNfDiA\/160x160x90\/1\/a\/7\/5e7e0b0e4aacfb365d2c9cac_5e9e6be842135.jpg"",""https:\/\/p1.zoon.ru\/preview\/4GiWqzabBHIAkogEjf_ckQ\/160x160x90\/1\/2\/3\/5e7e0b0e4aacfb365d2c9cac_5e9e6bfc69566.jpg"",""https:\/\/p1.zoon.ru\/preview\/BdMK96eWA7puQu2FPlyzgg\/160x160x90\/1\/4\/f\/5e7e0b0e4aacfb365d2c9cac_5e9e6be6d6184.jpg"",""https:\/\/p1.zoon.ru\/preview\/LOe4SCkL7lf0flsNvCLFsg\/160x160x90\/1\/c\/9\/5e7e0b0e4aacfb365d2c9cac_5e9e6bc2d9ce5.jpg"",""https:\/\/p0.zoon.ru\/preview\/rgy9yKeFS5ESh80GloUyKg\/160x160x90\/1\/8\/d\/5e7e0b0e4aacfb365d2c9cac_5e9e6c19d760f.jpg""]","Медицинские центры, Эндодонтия , Ортодонтия, Неотложная помощь в стоматологии","Вокзальная улица, 3, Павловский Посад",Я была в этом центре впервые…,2021-19-06 23:35:22
1624134932,Интердент,"[""https:\/\/p1.zoon.ru\/preview\/H07MVux9vBXUexMcRTbBRw\/160x160x90\/1\/1\/7\/4fcc8ddb3c72dd6017000011_607065a2efd03.jpg"",""https:\/\/p1.zoon.ru\/preview\/sXS2zq8Kd0rmSqvC0iHi_A\/160x160x90\/1\/f\/5\/4fcc8ddb3c72dd6017000011_5d2877a67b420.jpg"",""https:\/\/p2.zoon.ru\/preview\/jd1iUrHer3vS2Bdv48tdlA\/160x160x90\/1\/d\/8\/4fcc8ddb3c72dd6017000011_5d287794aa521.jpg"",""https:\/\/p0.zoon.ru\/preview\/FAW-sDmeuDYsl3yu95BsgQ\/160x160x90\/3\/a\/3\/4fcc8ddb3c72dd6017000011_5d28779af1fc3.jpg"",""https:\/\/p2.zoon.ru\/preview\/nWbvkhdDN8iUN_KyqgN8tw\/160x160x90\/3\/a\/8\/4fcc8ddb3c72dd6017000011_5d2877b336fe5.jpg""]","Медицинские центры, Эндодонтия , Неотложная помощь в стоматологии, Хирургическая стоматология","м. Минская, ул. Веерная, д. 1, корп. 2, (Матвеевская ул.) От метро славянский бульвар: автобусы 325, 641, маршрутка 519; От м. Кунцевская автобус 236; От м. Раменки автобус 325, Москва","…Главное при выборе врача, чтобы доктор хорошо сделал работу и вежливый персонал…",2021-19-06 23:35:23
